"rt","stimulus","response","phase","trial_type","trial_index","time_elapsed","internal_node_id","prolific_subject_id","study_id","session_id","rowAsString","logs"
"1887","Welcome to the experiment! Press any key to begin."," ","welcome-message","html-keyboard-response","0","1890","0.0-0.0","6650b71e7ab44ddbe28c1db0","6699817273833cff743f502e","6699837e4e717c2b9a9e3931","",""
"4775","
                <p> In this experiment, you will have a short conversation with an AI chatbot about a disputed topic in America. </p>
                <p> Before you chat with the bot, there is a survey for you to fill out. </p>
                <div style='width: 700px;'>
                </div>
                <p> Press any key to proceed to the questionnaire. </p>
                "," ","convo-instructions","html-keyboard-response","1","6666","0.0-1.0","6650b71e7ab44ddbe28c1db0","6699817273833cff743f502e","6699837e4e717c2b9a9e3931","",""
"172998","","{""ethnicity"":[""White""],""political-affiliation"":""Republican"",""gender-identification"":""female"",""education-level"":""Bachelor's degree"",""religious-affiliation"":""Catholic"",""political-ideology"":""Conservative"",""rating-democrats"":{""pre-rating-democrats-Democrats are intelligent"":2,""pre-rating-democrats-Democrats are open-minded"":1,""pre-rating-democrats-Democrats are generous"":2,""pre-rating-democrats-Democrats are hypocritical @R@"":6,""pre-rating-democrats-Democrats are selfish @R@"":5,""pre-rating-democrats-Democrats are mean @R@"":4},""interacting-with-democrats"":{""pre-interacting-with-democrats-family married a democrat @R@"":4,""pre-interacting-with-democrats-socializing with a democrat @R@"":4,""pre-interacting-with-democrats-work closely with a democrat @R@"":4},""topicChoice"":""mandating vaccines in the U.S."",""vaccines-polarization"":{""All government-approved vaccines should be mandated"":1,""Preventing people without vaccinations from entering public spaces and transportation would do more harm than good"":6,""Businesses should be allowed to require proof of vaccination for entry"":1,""Vaccines should be mandated for healthcare workers"":1,""Businesses and institutions should be barred from discriminating based on vaccination status"":6,""Schools should be allowed to require vaccinations for attendance"":1},""vaccines-polarization-general"":{""pre-vaccines-polarization-general-The federal government should make it mandatory for people to get vaccinated"":1,""pre-vaccines-polarization-general-The benefits of vaccine mandates outweigh the potential downsides"":2,""pre-vaccines-polarization-general-More vaccine mandates would decrease the spread of infectious diseases by ensuring more people are vaccinated"":1,""pre-vaccines-polarization-general-More vaccine mandates would increase public resistance by making people feel their freedoms are being infringed upon"":1},""pre-vaccines-openmindedness"":{""pre-vaccines-openmindedness...have little patience for arguments about vaccines mandates that I disagree with @R@"":4,""pre-vaccines-openmindedness...avoid messages about vaccines mandates that I disagree with @R@"":5,""pre-vaccines-openmindedness...believe it is a waste of time to pay attention to certain political ideas about vaccine mandates @R@"":6,""pre-vaccines-openmindedness...am open to considering other political viewpoints about vaccines mandates"":6,""pre-vaccines-openmindedness...consider as many different opinions as possible about vaccine mandates"":5},""vaccines-slider1-placeholder"":""25.00"",""vaccines-slider2-placeholder"":""8.00"",""vaccines-slider3-placeholder"":""24.00"",""vaccines-slider4-placeholder"":""24.00"",""vaccines-offending-reason"":{""pre-vaccines-offending-reason-...I would not want to offend someone"":6,""pre-vaccines-offending-reason-...I would not want to be offended by someone"":6,""pre-vaccines-offending-reason-...I would not want to be in an awkward, tense, or confrontational situation"":6,""pre-vaccines-offending-reason-...I would not want to deal with emotional distress or fatigue"":6,""pre-vaccines-offending-reason-...I would not want people judging me negatively or misunderstanding me"":5,""pre-vaccines-offending-reason-...I would not want to come off as ignorant or uneducated"":4,""pre-vaccines-offending-reason-...I have had previous negative experiences"":5,""pre-vaccines-offending-reason-...I would not want to incur social repercussions"":4,""pre-vaccines-offending-reason-...I would be afraid of feeling disempowered, unheard, or invalidated"":5,""pre-vaccines-offending-reason-...I would be afraid of feeling unsafe"":6},""rating-republicans"":null,""interacting-with-republicans"":null,""euthanasia-polarization"":null,""euthanasia-polarization-general"":null,""gender-polarization"":null,""gender-polarization-general"":null,""healthcare-polarization"":null,""healthcare-polarization-general"":null,""bombing-polarization"":null,""bombing-polarization-general"":null,""criminal-polarization"":null,""criminal-polarization-general"":null,""same-sex-polarization"":null,""same-sex-polarization-general"":null,""pre-euthanasia-openmindedness"":null,""pre-gender-openmindedness"":null,""pre-healthcare-openmindedness"":null,""pre-bombing-openmindedness"":null,""pre-criminal-openmindedness"":null,""pre-same-sex-openmindedness"":null,""euthanasia-slider1"":null,""euthanasia-slider1-placeholder"":null,""euthanasia-slider2"":null,""euthanasia-slider2-placeholder"":null,""euthanasia-slider3"":null,""euthanasia-slider3-placeholder"":null,""euthanasia-slider4"":null,""euthanasia-slider4-placeholder"":null,""gender-slider1"":null,""gender-slider1-placeholder"":null,""gender-slider2"":null,""gender-slider2-placeholder"":null,""gender-slider3"":null,""gender-slider3-placeholder"":null,""gender-slider4"":null,""gender-slider4-placeholder"":null,""healthcare-slider1"":null,""healthcare-slider1-placeholder"":null,""healthcare-slider2"":null,""healthcare-slider2-placeholder"":null,""healthcare-slider3"":null,""healthcare-slider3-placeholder"":null,""healthcare-slider4"":null,""healthcare-slider4-placeholder"":null,""bombing-slider1"":null,""bombing-slider1-placeholder"":null,""bombing-slider2"":null,""bombing-slider2-placeholder"":null,""bombing-slider3"":null,""bombing-slider3-placeholder"":null,""bombing-slider4"":null,""bombing-slider4-placeholder"":null,""vaccines-slider1"":null,""vaccines-slider2"":null,""vaccines-slider3"":null,""vaccines-slider4"":null,""criminal-slider1"":null,""criminal-slider1-placeholder"":null,""criminal-slider2-placeholder"":null,""criminal-slider3-placeholder"":null,""criminal-slider4"":null,""criminal-slider4-placeholder"":null,""same-sex-slider1"":null,""same-sex-slider1-placeholder"":null,""same-sex-slider2"":null,""same-sex-slider2-placeholder"":null,""same-sex-slider3"":null,""same-sex-slider3-placeholder"":null,""same-sex-slider4"":null,""same-sex-slider4-placeholder"":null,""euthanasia-offending-reason"":null,""gender-offending-reason"":null,""healthcare-offending-reason"":null,""bombing-offending-reason"":null,""criminal-offending-reason"":null,""same-sex-offending-reason"":null}","pre-convo-survey","survey","2","180339","0.0-2.0","6650b71e7ab44ddbe28c1db0","6699817273833cff743f502e","6699837e4e717c2b9a9e3931","{""row"":""All government-approved vaccines should be mandated""}",""
"4512","
        <p> You have now completed the pre-conversation questionnaire. </p>
        <p> Feel free to take a short break if needed. </p>
        <p> Press any key to proceed. </p>
      "," ","pre-bot-break","html-keyboard-response","3","184852","0.0-3.0","6650b71e7ab44ddbe28c1db0","6699817273833cff743f502e","6699837e4e717c2b9a9e3931","",""
"4076","
        <p> You will be conversing with a chatbot designed for conversations about disputed topics. </p>
        <p> Be as truthful to your beliefs as possible during the conversation, and try your best to give full responses to the bot. </p>
        <p> The conversation will end after you and the bot exchange seven messages. There is no right or wrong answer, no good or bad response to the bot. </p>
        <p> Press any key when you are ready to begin the conversation. </p>
      "," ","pre-convo-instructions","html-keyboard-response","4","189930","0.0-4.0","6650b71e7ab44ddbe28c1db0","6699817273833cff743f502e","6699837e4e717c2b9a9e3931","",""
"","","","","chat","5","340400","0.0-5.0","6650b71e7ab44ddbe28c1db0","6699817273833cff743f502e","6699837e4e717c2b9a9e3931","","[{""role"":""system"",""content"":""Role: Your role is to be a conversational chatbot with whom people can discuss their beliefs about contentious topics.\n            Style: You should be conversational and use colloquial language. You should match your response length to the user's input length.\n            Task: You should always ask a question about the user's stance. You should always ask why the user thinks what they think or ask if there were any experiences that led to their views."",""time"":192702},{""role"":""system-prompt"",""content"":""Welcome to the chatroom!"",""time"":192704},{""role"":""chatbot"",""content"":""Hey there! I'm here to chat about mandating vaccines in the U.S., a disputed topic. I'm not here to judge your beliefs; I'm just here to help you explore your views. To get the conversation started, could you explain your view on whether all government-approved vaccines should be mandated?"",""time"":192714},{""role"":""user"",""content"":""I don't think the government should mandate anything."",""time"":213231,""keyPressLog"":[""Shift"",""I"","" "",""d"",""n"",""o"",""Backspace"",""Backspace"",""o"",""n"","";"",""t"","" "",""Backspace"",""Backspace"",""Backspace"",""'"",""t"","" "",""t"",""h"",""i"",""n"",""k"","" "",""t"",""h"",""e"","" "",""g"",""o"",""Backspace"",""o"",""v"",""e"",""r"",""n"",""m"",""e"",""n"",""t"","" "",""s"",""h"",""o"",""u"",""l"",""d"","" "",""m"",""a"",""n"",""d"",""a"",""t"",""e"","" "",""a"",""n"",""y"",""t"",""h"",""i"",""n"",""g"","".""]},{""role"":""assistant"",""content"":""That's an interesting perspective. Can you tell me more about why you don't believe the government should mandate anything?"",""time"":213894},{""role"":""user"",""content"":""Because we live in a free country."",""time"":224815,""keyPressLog"":[""Shift"",""B"",""e"",""c"",""a"",""u"",""s"",""e"","" "",""w"",""e"","" "",""t"",""Backspace"",""l"",""i"",""v"",""e"","" "",""i"",""n"","" "",""a"","" "",""f"",""r"",""e"",""e"","" "",""c"",""o"",""u"",""n"",""t"",""r"",""y"","".""]},{""role"":""assistant"",""content"":""I see where you're coming from. Individual freedom is certainly an important value in many countries, including ours. Could you elaborate on why you believe that living in a free country means the government shouldn't mandate anything? Is it because you believe individuals should have complete autonomy to make their own choices? Or maybe there's another reason behind your perspective?"",""time"":225941},{""role"":""user"",""content"":""I believe we should be able to make our own decisions when it comes to our lives."",""time"":255375,""keyPressLog"":[""Shift"",""I"","" "",""b"",""e"",""l"",""i"",""e"",""v"",""e"","" "",""w"",""e"","" "",""s"",""h"",""o"",""u"",""l"",""d"","" "",""b"",""e"","" "",""a"",""b"",""l"",""e"","" "",""t"",""o"","" "",""m"",""a"",""k"",""e"","" "",""o"",""u"",""r"","" "",""o"",""w"",""n"","" "",""d"",""e"",""c"",""i"",""s"",""i"",""o"",""n"",""s"","" "",""w"",""j"",""h"",""e"",""Backspace"",""Backspace"",""Backspace"",""Backspace"",""Backspace"","" "",""w"",""h"",""e"",""n"","" "",""i"",""t"","" "",""c"",""o"",""m"",""e"",""s"","" "",""t"",""o"","" "",""o"",""u"",""r"","" "",""l"",""i"",""v"","" "",""Backspace"",""e"",""s"",""/"",""Backspace"","".""]},{""role"":""assistant"",""content"":""I understand that you value personal autonomy and the ability to make your own decisions. That's an important aspect of personal freedom. Can you share any specific experiences or reasons that have shaped your belief in the importance of individual decision-making?"",""time"":256350},{""role"":""user"",""content"":""Democracy in America...the book."",""time"":270262,""keyPressLog"":[""Shift"",""D"",""e"",""m"",""o"",""c"",""r"",""a"",""c"",""y"","" "",""i"",""n"","" "",""Shift"",""A"",""m"",""e"",""r"",""i"",""c"",""a"",""."",""."",""."",""t"",""h"",""e"","" "",""b"",""o"",""k"",""Backspace"",""o"",""k"","".""]},{""role"":""assistant"",""content"":""Ah, I see! \""Democracy in America\"" is a renowned book written by Alexis de Tocqueville that explores the strengths and challenges of democracy. It's interesting that reading this book has influenced your perspective on personal decision-making. What specifically about \""Democracy in America\"" resonated with you and led you to believe that individuals should have the freedom to make their own choices?"",""time"":272324},{""role"":""user"",""content"":""That we have individual freedoms and shouldn't allow the government to control us."",""time"":296271,""keyPressLog"":[""Shift"",""T"",""h"",""a"",""t"","" "",""w"",""e"","" "",""h"",""a"",""v"",""e"","" "",""i"",""n"",""d"",""i"",""v"",""i"",""d"",""u"",""a"",""l"","" "",""f"",""r"",""e"",""e"",""d"",""o"",""m"",""s"","" "",""a"",""n"",""d"","" "",""s"",""h"",""o"",""u"",""l"",""d"",""n"",""'"",""t"","" "",""a"",""l"",""l"",""o"",""w"","" "",""t"",""h"",""e"","" "",""f"",""o"",""Backspace"",""Backspace"",""g"",""0"",""o"",""v"",""e"",""Backspace"",""Backspace"",""Backspace"",""Backspace"",""o"",""v"",""e"",""r"",""n"",""m"",""e"",""n"",""t"","" "",""t"",""o"","" "",""c"",""o"",""n"",""t"",""r"",""o"",""l"","" "",""u"",""s"","".""]},{""role"":""assistant"",""content"":""I understand that you value individual freedoms and are wary of government control. It's clear that \""Democracy in America\"" has had a strong influence on your belief in personal decision-making. Can you share a bit more about why you think individuals should have the freedom to make their own choices? Is there a specific aspect or experience that stands out to you?"",""time"":297653},{""role"":""system"",""content"":""Role: Your role is to be a conversational chatbot with whom people can discuss their beliefs about contentious topics.\n                Style: You should be conversational and use colloquial language. You should match your response length to the user's input length.\n                Task: You should always ask a question about the user's stance. You should always ask why the user thinks what they think or ask if there were any experiences that led to their views."",""time"":297653},{""role"":""user"",""content"":""Because this isn't a communist country."",""time"":317311,""keyPressLog"":[""Enter"",""Shift"",""B"",""E"",""c"",""a"",""u"",""s"",""e"","" "",""Backspace"",""Backspace"",""Backspace"",""Backspace"",""Backspace"",""Backspace"",""Backspace"",""e"",""c"",""a"",""u"",""s"",""e"","" "",""t"",""h"",""i"",""s"","" "",""i"",""s"",""n"",""'"",""t"","" "",""a"","" "",""c"",""o"",""m"",""m"",""u"",""n"",""i"",""s"",""t"","" "",""c"",""o"",""u"",""n"",""t"",""r"",""y"","".""]},{""role"":""assistant"",""content"":""I understand that you believe in the importance of individual freedoms, and you don't want the government to have too much control. Could you tell me more about why you feel that way? Is there a particular reason why you associate government mandates with a communist system?"",""time"":318573},{""role"":""user"",""content"":""Nah"",""time"":333958,""keyPressLog"":[""Enter"",""Shift"",""N"",""M"",""a"",""Backspace"",""Backspace"",""a"",""h""]},{""role"":""assistant"",""content"":""I understand if you feel that way. Can you tell me more about your perspective on government mandates? Why do you believe the government should not have the power to mandate certain things? Is there a particular reason behind your viewpoint or any experiences that have shaped it?"",""time"":335009},{""role"":""system-prompt"",""content"":""You have completed your rounds of seven messages! Click continue to proceed with the experiment."",""time"":335009}]"
"4008","
        <p> Great job! You have completed the conversation. Feel free to take a short break. <p>
        <p> Before we send you back to Prolific, please complete a post-conversation questionnaire. <p>
        <p> Press any key to proceed to the questionnaire.  <p>
      "," ","post-convo-break","html-keyboard-response","6","344409","0.0-6.0","6650b71e7ab44ddbe28c1db0","6699817273833cff743f502e","6699837e4e717c2b9a9e3931","",""
"28312","","{""rating-democrats-post"":{""rating-democrats-post-Democrats are intelligent"":2,""rating-democrats-post-Democrats are open-minded"":2,""rating-democrats-post-Democrats are generous"":3,""rating-democrats-post-Democrats are hypocritical @R@"":6,""rating-democrats-post-Democrats are selfish @R@"":6,""rating-democrats-post-Democrats are mean @R@"":6},""interacting-with-democrats-post"":{""interacting-with-democrats-post-family married a democrat @R@"":3,""interacting-with-democrats-post-socializing with a democrat @R@"":3,""interacting-with-democrats-post-work closely with a democrat @R@"":3}}","post-convo-republican-survey","survey","7","373744","0.0-7.0-0.0","6650b71e7ab44ddbe28c1db0","6699817273833cff743f502e","6699837e4e717c2b9a9e3931","",""
"58711","","{""vaccines-openmindedness-post"":{""vaccines-openmindedness-post...have little patience for arguments about vaccines mandates that I disagree with @R@"":6,""vaccines-openmindedness-post...avoid messages about vaccines mandates that I disagree with @R@"":6,""vaccines-openmindedness-post...believe it is a waste of time to pay attention to certain political ideas about vaccine mandates @R@"":6,""vaccines-openmindedness-post...am open to considering other political viewpoints about vaccines mandates"":3,""vaccines-openmindedness-post...consider as many different opinions as possible about vaccine mandates"":4},""vaccines-polarization-post"":{""vaccines-polarization-post-Vaccines should be mandated for healthcare workers"":4,""vaccines-polarization-post-Schools should be allowed to require vaccinations for attendance"":3,""vaccines-polarization-post-Preventing people without vaccinations from entering public spaces and transportation would do more harm than good @R@"":5,""vaccines-polarization-post-Barring businesses and institutions from discriminating based on vaccination status is wrong @R@"":6,""vaccines-polarization-post-Businesses should be allowed to require proof of vaccination for entry"":2,""vaccines-polarization-post-All government-approved vaccines should be mandated"":1},""vaccines-polarization-general-post"":{""vaccines-polarization-general-post-The benefits of vaccine mandates outweigh the potential downsides"":1,""vaccines-polarization-general-post-The federal government should make it mandatory for people to get vaccinated"":1,""vaccines-polarization-general-post-More vaccine mandates would decrease the spread of infectious diseases by ensuring more people are vaccinated"":1,""vaccines-polarization-general-post-More vaccine mandates would increase public resistance by making people feel their freedoms are being infringed upon @R@"":1},""vaccines-slider1-post-placeholder"":""19.00"",""vaccines-slider2-post-placeholder"":""15.00"",""vaccines-slider3-post-placeholder"":""9.00"",""vaccines-slider4-post-placeholder"":""18.00"",""vaccines-reason-of-avoidance-post"":{""vaccines-reason-of-avoidance-post...I would not want to offend someone"":7,""vaccines-reason-of-avoidance-post...I would not want to be offended by someone"":7,""vaccines-reason-of-avoidance-post...I would not want to be in an awkward, tense, or confrontational situation"":7,""vaccines-reason-of-avoidance-post...I would not want to deal with emotional distress or fatigue"":7,""vaccines-reason-of-avoidance-post...I would not want people judging me negatively or misunderstanding me"":7,""vaccines-reason-of-avoidance-post...I would not want to come off as ignorant or uneducated"":7,""vaccines-reason-of-avoidance-post...I have had previous negative experiences"":7,""vaccines-reason-of-avoidance-post...I would not want to incur social repercussions"":7,""vaccines-reason-of-avoidance-post...I would be afraid of feeling disempowered, unheard, or invalidated"":7,""vaccines-reason-of-avoidance-post...I would be afraid of feeling unsafe"":7},""vaccines-slider1-post"":null,""vaccines-slider2-post"":null,""vaccines-slider3-post"":null,""vaccines-slider4-post"":null}","post-convo-vaccines-survey","survey","8","432475","0.0-15.0-0.0","6650b71e7ab44ddbe28c1db0","6699817273833cff743f502e","6699837e4e717c2b9a9e3931","",""
"53988","","{""free-response"":""No. I don't want to have this conversation."",""willing-to-converse-likert-post"":4,""convo-effect-on-willingness-post"":""Repeating myself."",""new-perspective-post"":""No."",""still-contributes-post"":""democracy"",""feelings-about-bot"":""I enjoyed it.""}","post-convo-last-questions-survey","survey","9","486478","0.0-18.0","6650b71e7ab44ddbe28c1db0","6699817273833cff743f502e","6699837e4e717c2b9a9e3931","",""
